case_id,snapshot_at,created_at,channel,case_type,category,subcategory,priority,sla_target_hours,first_response_time_hours,resolution_time_hours,status,resolution_code,escalated,assigned_team,escalation_team,customer_tenure_months,plan_tier,region_uk,age_band,gender,case_summary,sentiment,csat_score,tags
ND-2025-001400,2026-01-01T00:00:00Z,2025-08-01T08:15:22Z,email,incident,performance_outage,latency_spike,Urgent,4.0,5.2,"",open,"",true,engineering,"",24,Pro,London,35-44,F,"Polaris Board loading spinner just hangs forever since this morning.",Negative,"",latency;spinner;loading;polaris;timeout
ND-2025-001401,2026-01-01T00:00:00Z,2025-08-01T09:30:45Z,webchat,service_request,access_permissions,password_reset,Medium,24.0,26.5,"",open,"",false,operations,"",12,Standard,South East,25-34,M,"Forgot Orbit ID password after my holiday need reset asap.",Neutral,"",orbit_id;password;login;reset;access
ND-2025-001402,2026-01-01T00:00:00Z,2025-08-01T10:12:11Z,email,service_request,billing_payments,invoice_error,Low,48.0,50.1,"",pending,"",false,billing,"",6,Free,North West,45-54,F,"Invoice for August seems to have a duplicate charge for seats.",Negative,"",invoice;duplicate_charge;billing;seats;error
ND-2025-001403,2026-01-01T00:00:00Z,2025-08-01T11:45:00Z,phone,incident,integrations,api_auth_error,High,8.0,7.5,32.0,solved,fixed,false,engineering,"",36,Enterprise,Scotland,35-44,M,"Xero Connector throwing 401 auth errors intermittently.",Negative,4,connector;xero;api;auth;error
ND-2025-001404,2026-01-01T00:00:00Z,2025-08-01T13:20:33Z,in_app,service_request,how_to_training,feature_how_to,Low,48.0,49.5,"",new,"",false,operations,"",2,Standard,South West,18-24,F,"How do I add a widget to the main Polaris dashboard?",Neutral,"",polaris;widget;how_to;dashboard;setup
ND-2025-001405,2026-01-01T00:00:00Z,2025-08-01T14:55:10Z,email,incident,bug,export_bug,Medium,24.0,28.0,"",open,"",true,engineering,"",48,Pro,London,55-64,M,"PDF export of the KPI report is cutting off the bottom row.",Negative,"",bug;export;pdf;report;kpi
ND-2025-001406,2026-01-01T00:00:00Z,2025-08-01T16:10:05Z,webchat,service_request,account_admin,user_add_remove,Low,48.0,4.0,12.5,solved,answered,false,operations,"",15,Standard,Yorkshire,25-34,F,"Need to remove a user who left the company last week.",Neutral,5,user_management;admin;remove;settings;security
ND-2025-001407,2026-01-01T00:00:00Z,2025-08-02T09:05:44Z,email,incident,security_privacy,mfa_policy,High,8.0,9.2,"",open,"",true,security,"",60,Enterprise,East of England,45-54,M,"Orbit ID MFA is not sending SMS codes to our team in France.",Negative,"",orbit_id;mfa;sms;security;login
ND-2025-001408,2026-01-01T00:00:00Z,2025-08-02T11:22:18Z,webchat,service_request,data_reporting,missing_data,Medium,24.0,25.5,"",pending,"",false,data,"",9,Pro,West Midlands,35-44,F,"Data from yesterday is missing in the Sales Polaris board.",Negative,"",polaris;data;missing;report;sales
ND-2025-001409,2026-01-01T00:00:00Z,2025-08-02T14:40:55Z,email,incident,integrations,rate_limit_hit,High,8.0,8.5,"",on_hold,"",false,engineering,"",20,Standard,North East,25-34,M,"Salesforce connector hitting rate limits during sync.",Neutral,"",connector;salesforce;rate_limit;sync;api
