case_id,snapshot_at,created_at,channel,case_type,category,subcategory,priority,sla_target_hours,first_response_time_hours,resolution_time_hours,status,resolution_code,escalated,assigned_team,escalation_team,customer_tenure_months,plan_tier,region_uk,age_band,gender,case_summary,sentiment,csat_score,tags
ND-2025-002200,2026-01-01T00:00:00Z,2025-12-02T09:15:22Z,email,service_request,account_admin,account_closure,Medium,24.0,5.2,18.5,solved,fixed,false,operations,"",14,Standard,London,35-44,F,"We need to close our account before the holiday break please.",Neutral,5,"admin; closure; organization"
ND-2025-002201,2026-01-01T00:00:00Z,2025-12-02T10:45:11Z,webchat,incident,integrations,api_auth_error,High,8.0,1.5,4.2,solved,fixed,false,engineering,"",6,Pro,North West,25-34,M,"Xero connector has stopped syncing for December invoices.",Negative,4,"connector; xero; api; sync"
ND-2025-002202,2026-01-01T00:00:00Z,2025-12-02T11:20:05Z,in_app,service_request,account_admin,data_retention,Low,48.0,12.1,30.4,solved,answered,false,operations,"",32,Enterprise,South East,45-54,F,"Requesting full data export of all Polaris Boards before we archive.",Neutral,"","admin; retention; polaris; export"
ND-2025-002203,2026-01-01T00:00:00Z,2025-12-03T08:55:40Z,email,service_request,billing_payments,vat_receipt,Low,48.0,26.5,45.2,solved,answered,false,billing,"",2,Standard,Scotland,25-34,M,"Need VAT receipt for the last payment for year end accounts.",Neutral,5,"vat; invoice; payment"
ND-2025-002204,2026-01-01T00:00:00Z,2025-12-03T14:10:18Z,phone,incident,performance_outage,login_service_down,Urgent,4.0,0.5,2.1,solved,fixed,true,security,engineering,60,Enterprise,London,35-44,M,"Orbit ID is down completely for our London office.",Negative,3,"orbit_id; uptime; 500_error; login"
ND-2025-002205,2026-01-01T00:00:00Z,2025-12-04T09:30:22Z,email,service_request,account_admin,account_closure,Medium,24.0,6.0,22.1,solved,fixed,false,operations,"",11,Pro,Yorkshire,45-54,F,"Cancel subscription immediately.",Negative,"","closure; admin; subscription"
ND-2025-002206,2026-01-01T00:00:00Z,2025-12-04T10:05:00Z,webchat,service_request,how_to_training,feature_how_to,Low,48.0,3.5,12.0,solved,answered,false,operations,"",5,Free,East Midlands,18-24,M,"How do I delete a widget from the Polaris dashboard?",Neutral,4,"how_to; polaris; widget; configuration"
ND-2025-002207,2026-01-01T00:00:00Z,2025-12-04T13:45:55Z,email,incident,bug,export_bug,High,8.0,2.2,6.5,solved,workaround,false,engineering,"",24,Pro,South West,35-44,F,"Export to PDF crashes when the date range is Q4.",Negative,2,"bug; export; pdf; polaris; crash"
ND-2025-002208,2026-01-01T00:00:00Z,2025-12-05T08:20:12Z,email,service_request,account_admin,account_closure,Medium,24.0,8.5,26.0,pending,"",false,billing,"",9,Standard,Wales,55-64,M,"Closing down business need to stop all Northstar billing.",Neutral,"","closure; billing; admin"
ND-2025-002209,2026-01-01T00:00:00Z,2025-12-05T11:15:33Z,in_app,incident,data_reporting,missing_data,High,8.0,4.0,9.2,solved,fixed,false,data,"",18,Pro,London,25-34,F,"Polaris board showing zero revenue for December but Xero has data.",Negative,4,"polaris; missing_data; xero; visualization"
ND-2025-002210,2026-01-01T00:00:00Z,2025-12-05T15:00:01Z,email,service_request,other,sales_inquiry,Low,72.0,45.0,70.5,solved,answered,false,operations,"",0,Free,North East,45-54,M,"Do you offer non-profit discounts for the Enterprise tier?",Neutral,"","sales; inquiry; partnership"
ND-2025-002211,2026-01-01T00:00:00Z,2025-12-06T09:40:19Z,webchat,service_request,account_admin,user_add_remove,Medium,24.0,1.2,5.5,solved,fixed,false,operations,"",12,Standard,South East,35-44,F,"Remove user John Smith before 2026.",Neutral,5,"user_management; admin; settings"
ND-2025-002212,2026-01-01T00:00:00Z,2025-12-06T12:22:45Z,email,incident,access_permissions,mfa_reset,Urgent,4.0,0.8,3.1,solved,fixed,false,security,"",40,Enterprise,London,25-34,M,"Lost phone need urgent MFA reset for Orbit ID.",Negative,"","mfa; orbit_id; 2fa; locked_out"
ND-2025-002213,2026-01-01T00:00:00Z,2025-12-07T10:10:10Z,email,service_request,account_admin,account_closure,High,8.0,2.5,10.0,solved,fixed,true,operations,billing,22,Pro,West Midlands,35-44,F,"Escalating this cancellation request as no one replied.",Negative,1,"closure; admin; subscription"
ND-2025-002214,2026-01-01T00:00:00Z,2025-12-07T16:55:05Z,webchat,incident,bug,ui_glitch,Medium,24.0,25.0,28.5,solved,fixed,false,engineering,"",8,Standard,East of England,18-24,F,"The settings menu is misaligned in Chrome.",Neutral,"","ui; glitch; chrome; bug"
ND-2025-002215,2026-01-01T00:00:00Z,2025-12-08T08:45:30Z,email,service_request,account_admin,audit_log_request,Low,48.0,14.5,50.1,solved,answered,false,operations,"",36,Enterprise,London,45-54,M,"Compliance requires audit logs for all 2025 logins.",Neutral,5,"audit_log; compliance; admin; orbit_id"
ND-2025-002216,2026-01-01T00:00:00Z,2025-12-08T09:15:12Z,email,service_request,billing_payments,invoice_error,High,8.0,3.1,7.8,solved,fixed,false,billing,"",15,Pro,Scotland,55-64,M,"Invoice amount doesn't match the agreed renewal price.",Negative,3,"invoice; payment; pro_tier"
ND-2025-002217,2026-01-01T00:00:00Z,2025-12-08T11:30:44Z,in_app,incident,integrations,timeout_error,Medium,24.0,5.5,20.2,open,"",false,engineering,"",4,Standard,Northern Ireland,25-34,F,"Salesforce connector timing out during large sync.",Negative,"","connector; salesforce; timeout; sync"
ND-2025-002218,2026-01-01T00:00:00Z,2025-12-09T10:05:55Z,email,service_request,account_admin,account_closure,Medium,24.0,7.2,25.5,solved,fixed,false,operations,"",7,Standard,South West,35-44,M,"Please terminate our account effective Dec 31st.",Neutral,4,"closure; admin; organization"
ND-2025-002219,2026-01-01T00:00:00Z,2025-12-09T14:20:11Z,webchat,service_request,how_to_training,troubleshooting_steps,Low,48.0,1.1,4.5,solved,answered,false,operations,"",1,Free,London,18-24,F,"Where do I find the API key?",Neutral,"","how_to; api; configuration"
ND-2025-002220,2026-01-01T00:00:00Z,2025-12-09T15:45:33Z,email,incident,security_privacy,suspicious_activity,Urgent,4.0,0.4,1.8,solved,fixed,true,security,security,50,Enterprise,North West,45-54,M,"Suspicious login attempt flagged on admin account.",Negative,5,"security; suspicious_login; orbit_id"
ND-2025-002221,2026-01-01T00:00:00Z,2025-12-10T08:30:22Z,email,service_request,account_admin,data_retention,Medium,24.0,6.5,22.0,solved,answered,false,data,"",20,Pro,Yorkshire,35-44,F,"What happens to our data after we cancel?",Neutral,"","retention; gdpr; admin"
ND-2025-002222,2026-01-01T00:00:00Z,2025-12-10T09:55:00Z,webchat,incident,bug,mobile_issue,Low,48.0,40.0,49.5,solved,fixed,false,engineering,"",10,Standard,South East,25-34,M,"App crashing on iOS 17.",Negative,4,"mobile; crash; bug"
ND-2025-002223,2026-01-01T00:00:00Z,2025-12-10T13:10:45Z,email,service_request,account_admin,account_closure,Medium,24.0,4.2,21.5,solved,fixed,false,operations,"",3,Free,East Midlands,35-44,F,"Delete my account.",Neutral,"","closure; admin; user_management"
