case_id,snapshot_at,created_at,channel,case_type,category,subcategory,priority,sla_target_hours,first_response_time_hours,resolution_time_hours,status,resolution_code,escalated,assigned_team,escalation_team,customer_tenure_months,plan_tier,region_uk,age_band,gender,case_summary,sentiment,csat_score,tags
ND-2025-001600,2026-01-01T00:00:00Z,2025-09-01T09:15:22Z,email,service_request,data_reporting,missing_data,Medium,24.0,3.5,22.1,solved,fixed,false,data,"",14,Standard,London,35-44,F,"Polaris Board showing empty widgets for August sales data",Negative,4,polaris;widget;missing_data;chart
ND-2025-001601,2026-01-01T00:00:00Z,2025-09-01T10:05:45Z,webchat,service_request,how_to_training,feature_how_to,Low,48.0,1.2,5.5,solved,answered,false,support,"",6,Pro,North West,25-34,M,"Need help configuring the Xero Connector for multi-currency",Neutral,5,how_to;configuration;xero;connector;currency
ND-2025-001602,2026-01-01T00:00:00Z,2025-09-01T11:42:10Z,in_app,incident,bug,ui_glitch,High,8.0,0.5,6.2,solved,fixed,false,engineering,"",32,Enterprise,South East,45-54,F,"Orbit ID login screen misaligned on Safari browser",Negative,3,bug;ui;orbit_id;safari;glitch
ND-2025-001603,2026-01-01T00:00:00Z,2025-09-01T13:20:05Z,email,service_request,data_reporting,export_issue,Medium,24.0,5.1,18.4,solved,workaround,false,data,"",9,Standard,Scotland,35-44,NB,"Cannot export Polaris report to PDF it just spins",Negative,2,polaris;export;pdf;spinner;report
ND-2025-001604,2026-01-01T00:00:00Z,2025-09-01T14:55:30Z,phone,service_request,access_permissions,password_reset,Urgent,4.0,0.1,0.5,solved,fixed,false,support,"",2,Free,London,18-24,M,"Locked out of Orbit ID after too many attempts",Neutral,"",orbit_id;password;locked_out;login
ND-2025-001605,2026-01-01T00:00:00Z,2025-09-01T16:10:12Z,webchat,service_request,how_to_training,examples_needed,Low,48.0,8.5,42.1,solved,answered,false,support,"",24,Pro,Yorkshire,55-64,F,"Can you show me best practice for filtering Polaris widgets by region?",Positive,5,how_to;best_practice;polaris;filter;widget
ND-2025-001606,2026-01-01T00:00:00Z,2025-09-02T08:30:00Z,email,incident,integrations,api_auth_error,High,8.0,1.5,7.8,solved,fixed,true,engineering,engineering,40,Enterprise,East of England,35-44,M,"Salesforce Connector throwing 401 Unauthorized errors",Negative,4,connector;salesforce;api;oauth;error
ND-2025-001607,2026-01-01T00:00:00Z,2025-09-02T09:45:18Z,in_app,service_request,data_reporting,incorrect_filtering,Medium,24.0,2.2,26.5,open,"",false,data,"",18,Standard,South West,25-34,F,"Filter on the main Polaris Board isn't excluding VAT correctly",Neutral,"",polaris;filter;vat;dashboard;bug
ND-2025-001608,2026-01-01T00:00:00Z,2025-09-02T10:15:55Z,email,service_request,billing_payments,invoice_error,High,8.0,3.0,12.0,solved,fixed,false,billing,"",5,Pro,London,45-54,M,"Charged for Enterprise tier but we are on Pro",Negative,1,invoice;payment;pro_tier;enterprise_tier;error
ND-2025-001609,2026-01-01T00:00:00Z,2025-09-02T11:50:33Z,webchat,service_request,account_admin,user_add_remove,Low,48.0,4.5,24.1,solved,answered,false,support,"",1,Standard,West Midlands,25-34,F,"Need to remove a user from our organization settings",Neutral,5,user_management;admin;settings;organization
ND-2025-001610,2026-01-01T00:00:00Z,2025-09-02T13:05:44Z,email,incident,performance_outage,latency_spike,Urgent,4.0,0.5,3.2,solved,fixed,true,engineering,engineering,60,Enterprise,London,35-44,M,"Polaris dashboard taking over 30 seconds to load",Negative,3,latency;slow;polaris;dashboard;loading
ND-2025-001611,2026-01-01T00:00:00Z,2025-09-02T14:40:21Z,in_app,service_request,how_to_training,onboarding_help,Medium,24.0,6.0,20.5,solved,answered,false,support,"",3,Free,North East,18-24,NB,"Where do I find the documentation for Orbit ID setup?",Neutral,4,how_to;docs;orbit_id;setup;onboarding
ND-2025-001612,2026-01-01T00:00:00Z,2025-09-03T09:10:05Z,email,incident,bug,export_bug,Medium,24.0,22.0,46.5,solved,fixed,false,engineering,"",12,Standard,Wales,25-34,F,"CSV export from Polaris widget has missing columns",Negative,2,bug;export;csv;polaris;widget
ND-2025-001613,2026-01-01T00:00:00Z,2025-09-03T10:25:15Z,webchat,service_request,data_reporting,timezone_confusion,Low,48.0,1.5,4.2,solved,answered,false,data,"",7,Pro,London,35-44,M,"Why are my Polaris timestamps in UTC and not BST?",Neutral,5,polaris;timezone;dashboard;time
ND-2025-001614,2026-01-01T00:00:00Z,2025-09-03T11:55:40Z,email,incident,security_privacy,suspicious_activity,Urgent,2.0,0.2,1.8,solved,fixed,true,security,security,50,Enterprise,London,45-54,M,"Alert about suspicious login attempts via Orbit ID",Negative,"",security;suspicious_login;orbit_id;admin
ND-2025-001615,2026-01-01T00:00:00Z,2025-09-03T13:30:50Z,phone,service_request,other,sales_inquiry,Low,72.0,5.0,25.0,solved,answered,false,support,"",0,Free,South East,25-34,F,"Interested in upgrading to Pro for the Salesforce Connector",Positive,5,sales;inquiry;upgrade;connector;salesforce
ND-2025-001616,2026-01-01T00:00:00Z,2025-09-03T15:10:22Z,in_app,service_request,how_to_training,troubleshooting_steps,Medium,24.0,10.1,23.5,solved,answered,false,support,"",15,Standard,Scotland,55-64,M,"My widget isn't updating properly what steps should I take?",Neutral,4,how_to;troubleshooting_steps;widget;update
ND-2025-001617,2026-01-01T00:00:00Z,2025-09-04T08:45:11Z,email,service_request,data_reporting,report_permissions,High,8.0,2.5,7.5,solved,fixed,false,data,"",22,Pro,East Midlands,35-44,F,"Colleague cannot see the shared Polaris Board",Negative,3,polaris;report;permissions;access;dashboard
ND-2025-001618,2026-01-01T00:00:00Z,2025-09-04T10:00:33Z,webchat,incident,bug,mobile_issue,Medium,24.0,1.1,28.0,open,"",false,engineering,"",8,Standard,London,25-34,M,"App crashes when viewing large Polaris widgets on iPhone",Negative,"",bug;mobile;crash;polaris;widget
ND-2025-001619,2026-01-01T00:00:00Z,2025-09-04T11:20:45Z,email,service_request,access_permissions,invite_user,Low,48.0,12.0,49.5,solved,answered,false,support,"",4,Free,South West,35-44,F,"Invitation link for new user expired",Neutral,5,invite;user_management;orbit_id;login
