case_id,snapshot_at,created_at,channel,case_type,category,subcategory,priority,sla_target_hours,first_response_time_hours,resolution_time_hours,status,resolution_code,escalated,assigned_team,escalation_team,customer_tenure_months,plan_tier,region_uk,age_band,gender,case_summary,sentiment,csat_score,tags
ND-2025-000600,2026-01-01T00:00:00Z,2025-04-01T09:12:00Z,email,service_request,how_to_training,feature_how_to,Medium,24.0,2.5,18.4,solved,answered,false,support,"",14,Pro,London,25-34,F,"How do I filter the Polaris Board by fiscal quarter?",Neutral,5,"how_to;polaris;filter;dashboard;configuration"
ND-2025-000601,2026-01-01T00:00:00Z,2025-04-01T10:05:00Z,webchat,incident,integrations,api_auth_error,High,8.0,1.2,6.5,solved,fixed,false,engineering,"",32,Enterprise,North West,35-44,M,"Xero Connector returning 401 error since this morning",Negative,4,"connector;xero;api;error;token"
ND-2025-000602,2026-01-01T00:00:00Z,2025-04-01T11:45:00Z,email,service_request,account_admin,user_add_remove,Low,48.0,14.2,,open,"",false,support,"",6,Standard,South East,45-54,F,"Need to remove two users from our organization settings",Neutral,,"admin;user_management;settings;organization"
ND-2025-000603,2026-01-01T00:00:00Z,2025-04-01T13:20:00Z,phone,incident,bug,ui_glitch,Medium,24.0,5.1,,pending,"",false,engineering,"",2,Free,Scotland,18-24,M,"The save button on the widget config screen is greyed out",Negative,,"bug;ui;widget;glitch;chrome"
ND-2025-000604,2026-01-01T00:00:00Z,2025-04-01T14:10:00Z,email,service_request,billing_payments,invoice_error,High,8.0,3.0,7.8,solved,fixed,false,billing,"",48,Pro,West Midlands,55-64,M,"Our VAT receipt for March doesn't look right on the portal",Negative,3,"invoice;vat;billing;payment;pro_tier"
ND-2025-000605,2026-01-01T00:00:00Z,2025-04-02T08:55:00Z,in_app,service_request,data_reporting,export_issue,Medium,24.0,4.5,22.1,solved,workaround,false,data,"",11,Standard,Yorkshire,25-34,F,"Exporting the Sales KPI Polaris board to PDF cuts off the footer",Neutral,4,"polaris;export;pdf;bug;report"
ND-2025-000606,2026-01-01T00:00:00Z,2025-04-02T09:30:00Z,email,incident,access_permissions,sso_setup,Urgent,4.0,0.5,3.2,solved,fixed,true,security,"",60,Enterprise,London,35-44,M,"URGENT: Orbit ID SSO failing for all staff via Okta",Negative,,"orbit_id;sso;okta;urgent;login"
ND-2025-000607,2026-01-01T00:00:00Z,2025-04-02T11:15:00Z,webchat,service_request,how_to_training,best_practice,Low,48.0,26.0,,open,"",false,support,"",3,Standard,East Midlands,25-34,F,"Best way to visualise churn rate on a widget?",Neutral,,"how_to;best_practice;widget;visualization"
ND-2025-000608,2026-01-01T00:00:00Z,2025-04-02T15:40:00Z,email,service_request,other,sales_inquiry,Low,72.0,45.0,,new,"",false,support,"",0,Free,Wales,45-54,M,"Interested in upgrading to Enterprise for the Salesforce connector",Positive,,"sales;upgrade;connector;inquiry;enterprise_tier"
ND-2025-000609,2026-01-01T00:00:00Z,2025-04-03T09:05:00Z,email,incident,performance_outage,latency_spike,Urgent,4.0,1.1,3.9,solved,fixed,false,engineering,"",24,Pro,South West,35-44,F,"Dashboards are taking forever to load just spinning",Negative,2,"latency;spinner;slow;loading;performance"
ND-2025-000610,2026-01-01T00:00:00Z,2025-04-03T10:20:00Z,webchat,service_request,access_permissions,password_reset,Medium,24.0,0.2,0.5,solved,answered,false,support,"",5,Standard,London,25-34,M,"Locked out of Orbit ID can you reset?",Neutral,5,"orbit_id;password;locked_out;login"
ND-2025-000611,2026-01-01T00:00:00Z,2025-04-03T13:45:00Z,email,incident,integrations,mapping_error,High,8.0,2.5,,on_hold,"",true,engineering,data,19,Pro,North East,45-54,F,"HubSpot connector syncing wrong fields to Polaris widgets",Negative,,"connector;hubspot;sync;mapping_error;widget"
ND-2025-000612,2026-01-01T00:00:00Z,2025-04-03T16:00:00Z,in_app,incident,bug,mobile_issue,Medium,24.0,6.0,,open,"",false,engineering,"",9,Standard,East of England,18-24,M,"App crashes when I open the finance board on iOS",Negative,,"bug;mobile;crash;app_crash;ios"
ND-2025-000613,2026-01-01T00:00:00Z,2025-04-04T08:30:00Z,email,service_request,billing_payments,plan_change_billing,Low,48.0,12.0,26.5,solved,answered,false,billing,"",36,Pro,Northern Ireland,55-64,F,"We need to downgrade from Pro to Standard next month",Neutral,4,"billing;downgrade;subscription;plan_change_billing"
ND-2025-000614,2026-01-01T00:00:00Z,2025-04-04T10:10:00Z,webchat,incident,data_reporting,missing_data,High,8.0,1.5,5.0,solved,fixed,false,data,"",12,Enterprise,London,35-44,M,"Data missing from Q1 report widget please check",Negative,,"polaris;widget;missing_data;report"
ND-2025-000615,2026-01-01T00:00:00Z,2025-04-04T12:55:00Z,email,service_request,how_to_training,onboarding_help,Medium,24.0,3.0,22.0,solved,answered,false,support,"",1,Free,Scotland,25-34,F,"New to Northstar need help setting up first connector",Positive,5,"onboarding;how_to;setup;connector;training"
ND-2025-000616,2026-01-01T00:00:00Z,2025-04-04T14:40:00Z,email,incident,security_privacy,suspicious_activity,Urgent,2.0,0.3,1.5,solved,fixed,true,security,"",50,Enterprise,London,45-54,M,"Alert: Suspicious login attempt flagged on admin account",Negative,,"security;suspicious_login;admin;orbit_id;urgent"
ND-2025-000617,2026-01-01T00:00:00Z,2025-04-05T09:20:00Z,webchat,service_request,account_admin,audit_log_request,Low,48.0,20.0,,pending,"",false,support,"",22,Pro,South East,35-44,F,"Requesting audit logs for user activity last month",Neutral,,"admin;audit_log;security;compliance"
ND-2025-000618,2026-01-01T00:00:00Z,2025-04-05T11:00:00Z,in_app,incident,bug,browser_compatibility,Medium,24.0,5.5,,open,"",false,engineering,"",7,Standard,North West,25-34,M,"Polaris board layout is broken in Safari",Negative,,"bug;safari;ui;glitch;browser_compatibility"
ND-2025-000619,2026-01-01T00:00:00Z,2025-04-05T13:30:00Z,email,service_request,billing_payments,vat_receipt,Low,48.0,40.0,46.0,solved,answered,false,support,"",15,Pro,West Midlands,45-54,F,"Where can I find my VAT receipts?",Neutral,,"billing;vat;invoice;receipt"
ND-2025-000620,2026-01-01T00:00:00Z,2025-04-06T08:15:00Z,email,incident,integrations,webhook_failure,High,8.0,2.0,7.0,solved,fixed,false,engineering,"",28,Enterprise,London,35-44,M,"Webhooks from Shopify connector are failing",Negative,4,"connector;shopify;webhook;failure;api"
ND-2025-000621,2026-01-01T00:00:00Z,2025-04-06T10:45:00Z,webchat,service_request,how_to_training,documentation_clarification,Medium,24.0,1.8,4.2,solved,answered,false,support,"",4,Standard,Yorkshire,25-34,F,"Docs for API v2 aren't clear on rate limits",Neutral,,"docs;api;rate_limit;clarification;training"
ND-2025-000622,2026-01-01T00:00:00Z,2025-04-06T14:20:00Z,email,incident,performance_outage,database_slow,High,8.0,3.5,,pending,"",true,engineering,"",40,Pro,East Midlands,35-44,M,"Reports are generating very slowly today",Negative,,"slow;performance;database;report;latency"
ND-2025-000623,2026-01-01T00:00:00Z,2025-04-07T09:10:00Z,in_app,service_request,data_reporting,incorrect_filtering,Medium,24.0,4.0,20.5,solved,fixed,false,data,"",10,Standard,South West,25-34,F,"Filter on Widget A isn't excluding internal IPs",Neutral,4,"polaris;widget;filter;incorrect_filtering;data"
ND-2025-000624,2026-01-01T00:00:00Z,2025-04-07T11:55:00Z,email,service_request,other,wrong_number,Low,48.0,1.0,1.1,solved,cancelled,false,support,"",0,Free,Wales,55-64,M,"Is this the pizza place?",Neutral,,"other;miscellaneous;spam"
ND-2025-000625,2026-01-01T00:00:00Z,2025-04-07T15:00:00Z,webchat,incident,access_permissions,mfa_reset,Urgent,4.0,0.8,2.5,solved,fixed,false,support,"",55,Enterprise,London,45-54,F,"Lost phone need MFA reset for Orbit ID immediately",Negative,5,"orbit_id;mfa;2fa;reset;urgent"
ND-2025-000626,2026-01-01T00:00:00Z,2025-04-08T08:45:00Z,email,incident,billing_payments,payment_failed,High,8.0,2.2,5.5,solved,fixed,false,billing,"",8,Pro,Scotland,35-44,M,"Card payment failed but we have funds",Negative,,"payment;credit_card;failed;billing"
ND-2025-000627,2026-01-01T00:00:00Z,2025-04-08T10:30:00Z,email,service_request,how_to_training,examples_needed,Medium,24.0,6.0,,open,"",false,support,"",2,Standard,North East,25-34,F,"Do you have examples of marketing dashboards?",Positive,,"how_to;examples;dashboard;best_practice"
ND-2025-000628,2026-01-01T00:00:00Z,2025-04-08T13:15:00Z,webchat,incident,bug,broken_link,Low,48.0,10.0,30.0,solved,fixed,false,engineering,"",16,Pro,East of England,18-24,M,"Link to help center in the footer returns 404",Neutral,5,"bug;404;broken_link;help_center"
ND-2025-000629,2026-01-01T00:00:00Z,2025-04-08T15:50:00Z,email,service_request,account_admin,org_settings,Medium,24.0,5.0,,pending,"",false,support,"",5,Standard,South East,45-54,F,"Change company name on the account",Neutral,,"admin;settings;organization;account_admin"
ND-2025-000630,2026-01-01T00:00:00Z,2025-04-09T09:00:00Z,in_app,incident,integrations,rate_limit_hit,High,8.0,1.5,4.8,solved,workaround,false,engineering,"",42,Enterprise,London,35-44,M,"Hit rate limit on Salesforce connector need increase",Negative,,"connector;salesforce;rate_limit;api"
ND-2025-000631,2026-01-01T00:00:00Z,2025-04-09T11:25:00Z,email,service_request,how_to_training,troubleshooting_steps,Medium,24.0,3.5,19.0,solved,answered,false,support,"",3,Free,West Midlands,25-34,F,"My widget is blank what steps to fix?",Neutral,4,"how_to;troubleshooting;widget;blank"
ND-2025-000632,2026-01-01T00:00:00Z,2025-04-09T14:05:00Z,webchat,incident,performance_outage,intermittent_errors,Urgent,4.0,0.6,3.0,solved,fixed,false,engineering,"",20,Pro,North West,35-44,M,"Getting random 500 errors when saving Polaris board",Negative,3,"500_error;intermittent;bug;polaris;save"
