case_id,snapshot_at,created_at,channel,case_type,category,subcategory,priority,sla_target_hours,first_response_time_hours,resolution_time_hours,status,resolution_code,escalated,assigned_team,escalation_team,customer_tenure_months,plan_tier,region_uk,age_band,gender,case_summary,sentiment,csat_score,tags
ND-2025-001800,2026-01-01T00:00:00Z,2025-10-01T09:15:22Z,email,service_request,security_privacy,gdpr_request,Medium,24.0,2.5,22.1,solved,answered,false,security,"",24,Pro,London,35-44,Female,"Requesting data deletion for ex-employee under GDPR guidelines regarding Orbit ID access.",Neutral,5,"security;gdpr;orbit_id;compliance"
ND-2025-001801,2026-01-01T00:00:00Z,2025-10-01T10:04:01Z,webchat,incident,access_permissions,mfa_reset,High,8.0,1.2,4.5,solved,fixed,false,support,"",12,Standard,North West,25-34,Male,"Locked out of Orbit ID lost my authenticator app.",Negative,4,"orbit_id;mfa;locked_out;2fa;google_auth"
ND-2025-001802,2026-01-01T00:00:00Z,2025-10-01T11:45:33Z,email,service_request,security_privacy,suspicious_activity,Urgent,4.0,0.5,3.2,solved,fixed,true,security,engineering,48,Enterprise,South East,45-54,Male,"Urgent: Suspicious login detected on Admin Orbit ID from unknown IP in Brazil.",Negative,,"security;suspicious_login;orbit_id;ip_whitelist;admin"
ND-2025-001803,2026-01-01T00:00:00Z,2025-10-01T13:20:10Z,phone,service_request,account_admin,audit_log_request,Medium,24.0,4.1,26.5,open,"",false,support,"",6,Pro,West Midlands,35-44,Female,"Need audit logs for the last 6 months for our annual security review.",Neutral,,"admin;audit_log;compliance;security"
ND-2025-001804,2026-01-01T00:00:00Z,2025-10-01T14:55:05Z,in_app,service_request,access_permissions,sso_setup,Medium,24.0,6.0,20.0,solved,answered,false,support,"",36,Enterprise,London,25-34,Non-binary,"Setting up Okta SSO for the marketing team on Orbit ID.",Neutral,5,"sso;okta;orbit_id;setup;configuration"
ND-2025-001805,2026-01-01T00:00:00Z,2025-10-02T08:30:45Z,email,incident,security_privacy,vulnerability_disclosure,High,8.0,1.5,10.2,pending,"",true,security,engineering,60,Enterprise,Scotland,35-44,Male,"Potential vulnerability found in the Polaris Board export widget headers.",Negative,,"security;vulnerability;polaris;export;bug"
ND-2025-001806,2026-01-01T00:00:00Z,2025-10-02T09:12:18Z,webchat,service_request,access_permissions,invite_user,Low,48.0,12.5,30.0,solved,answered,false,support,"",2,Standard,Yorkshire,18-24,Female,"How do I invite a new user to view the sales Polaris board?",Neutral,4,"invite;how_to;polaris;user_management"
ND-2025-001807,2026-01-01T00:00:00Z,2025-10-02T10:45:50Z,email,service_request,account_admin,user_add_remove,Low,48.0,45.2,50.1,solved,fixed,false,support,"",15,Pro,South West,55-64,Male,"Please remove user J.Smith from our organisation immediately.",Neutral,3,"user_management;admin;security;closure"
ND-2025-001808,2026-01-01T00:00:00Z,2025-10-02T11:59:02Z,email,service_request,security_privacy,mfa_policy,High,8.0,3.0,7.8,solved,answered,false,security,"",30,Enterprise,London,45-54,Female,"We need to enforce MFA on all users for the upcoming audit.",Neutral,5,"mfa;security;orbit_id;compliance;admin"
ND-2025-001809,2026-01-01T00:00:00Z,2025-10-02T14:10:15Z,webchat,service_request,other,sales_inquiry,Low,48.0,2.0,5.5,solved,answered,false,support,"",0,Free,East of England,25-34,Male,"Interested in upgrading to Enterprise for the SSO features.",Positive,,"sales;inquiry;sso;enterprise_tier"
ND-2025-001810,2026-01-01T00:00:00Z,2025-10-02T15:30:33Z,in_app,incident,access_permissions,account_locked,Urgent,4.0,0.8,2.5,solved,fixed,false,support,"",18,Standard,North East,35-44,Female,"Admin account locked out after too many failed Orbit ID attempts.",Negative,2,"locked_out;orbit_id;login;admin;password"
ND-2025-001811,2026-01-01T00:00:00Z,2025-10-03T09:05:00Z,email,service_request,security_privacy,penetration_test_report,Medium,24.0,5.5,148.0,on_hold,"",true,security,engineering,55,Enterprise,London,35-44,Male,"Submitting our annual penetration test report for your review.",Neutral,,"penetration_test;security;compliance;soc2"
ND-2025-001812,2026-01-01T00:00:00Z,2025-10-03T10:22:44Z,phone,incident,security_privacy,suspicious_activity,High,8.0,1.0,6.5,solved,fixed,false,support,"",10,Pro,Wales,45-54,Female,"I got a weird email about a password reset I didn't ask for.",Negative,5,"suspicious_login;security;password;email_prefs"
ND-2025-001813,2026-01-01T00:00:00Z,2025-10-03T11:40:12Z,email,service_request,account_admin,org_settings,Low,48.0,36.0,40.2,solved,answered,false,support,"",8,Standard,South East,25-34,Male,"Update our billing address in the org settings please.",Neutral,4,"settings;organization;admin;billing"
ND-2025-001814,2026-01-01T00:00:00Z,2025-10-03T14:15:55Z,webchat,service_request,access_permissions,password_reset,Medium,24.0,2.2,4.8,solved,fixed,false,support,"",14,Pro,North West,35-44,Female,"Link to reset password for Orbit ID isn't arriving.",Negative,3,"password;login;orbit_id;email_prefs"
ND-2025-001815,2026-01-01T00:00:00Z,2025-10-04T08:50:20Z,email,incident,security_privacy,session_timeout,Medium,24.0,18.5,25.0,solved,answered,false,engineering,"",40,Enterprise,London,25-34,Male,"Polaris Board sessions are timing out too quickly during presentations.",Negative,,"session_timeout;security;polaris;configuration"
ND-2025-001816,2026-01-01T00:00:00Z,2025-10-04T12:00:01Z,in_app,service_request,other,test_ticket,Low,72.0,1.0,1.1,solved,cancelled,false,support,"",5,Free,Scotland,18-24,Female,"ignore this just testing the chat",Neutral,,"other;miscellaneous"
ND-2025-001817,2026-01-01T00:00:00Z,2025-10-05T09:30:45Z,email,service_request,security_privacy,mfa_policy,High,8.0,4.5,12.0,solved,answered,false,security,"",22,Pro,East Midlands,45-54,Male,"Can we enforce MFA for only the Finance team on Orbit ID?",Neutral,5,"mfa;orbit_id;admin;permissions"
ND-2025-001818,2026-01-01T00:00:00Z,2025-10-05T10:45:11Z,webchat,incident,access_permissions,domain_verification,Medium,24.0,3.0,18.5,open,"",false,support,"",7,Standard,London,35-44,Female,"Domain verification for SSO failed twice now.",Negative,,"domain;sso;verification;error"
ND-2025-001819,2026-01-01T00:00:00Z,2025-10-05T13:10:30Z,email,service_request,account_admin,audit_log_request,Medium,24.0,22.0,46.0,solved,answered,false,support,"",50,Enterprise,South West,55-64,Male,"Need a CSV export of all admin actions for Q3 security review.",Neutral,4,"audit_log;admin;csv;export"
ND-2025-001820,2026-01-01T00:00:00Z,2025-10-06T08:15:22Z,email,service_request,security_privacy,gdpr_request,Medium,24.0,15.5,23.5,solved,answered,false,security,"",12,Standard,Northern Ireland,25-34,Female,"What is your data retention policy for deleted Connectors?",Neutral,,"gdpr;retention;privacy;connector"
ND-2025-001821,2026-01-01T00:00:00Z,2025-10-06T09:40:55Z,webchat,incident,access_permissions,role_assignment,Low,48.0,4.0,6.5,solved,fixed,false,support,"",18,Pro,Yorkshire,35-44,Male,"I can't assign the 'Editor' role to my colleague.",Negative,3,"role_assignment;admin;permissions;user_management"
ND-2025-001822,2026-01-01T00:00:00Z,2025-10-06T11:20:10Z,phone,service_request,other,wrong_number,Low,48.0,0.5,1.0,solved,cancelled,false,support,"",0,Free,London,18-24,Male,"Is this the pizza place?",Neutral,,"spam;miscellaneous;other"
ND-2025-001823,2026-01-01T00:00:00Z,2025-10-06T14:55:33Z,email,incident,security_privacy,suspicious_activity,Urgent,4.0,1.0,3.5,solved,fixed,true,security,engineering,35,Enterprise,North West,45-54,Female,"Alert: Multiple failed login attempts on our Orbit ID master account.",Negative,5,"suspicious_login;orbit_id;security;locked_out"
ND-2025-001824,2026-01-01T00:00:00Z,2025-10-07T08:45:12Z,in_app,service_request,access_permissions,mfa_reset,High,8.0,2.5,5.0,solved,fixed,false,support,"",9,Pro,West Midlands,25-34,Male,"New phone need 2FA reset for Orbit ID.",Neutral,4,"mfa;2fa;orbit_id;reset;mobile"
ND-2025-001825,2026-01-01T00:00:00Z,2025-10-07T10:10:05Z,webchat,service_request,account_admin,notification_settings,Low,48.0,40.1,42.5,solved,answered,false,support,"",20,Standard,Scotland,35-44,Female,"Stop sending me so many emails about connector syncs.",Negative,2,"notifications;email_prefs;settings;connector"
ND-2025-001826,2026-01-01T00:00:00Z,2025-10-07T12:30:44Z,email,service_request,security_privacy,soc2,Medium,24.0,20.0,24.5,solved,answered,false,security,"",60,Enterprise,London,45-54,Male,"Do you have a SOC2 Type 2 report available for our vendor assessment?",Neutral,5,"soc2;compliance;security;report"
ND-2025-001827,2026-01-01T00:00:00Z,2025-10-07T15:05:18Z,email,incident,other,spam,Low,48.0,47.0,48.1,solved,cancelled,false,support,"",0,Free,South East,25-34,Female,"SEO optimization for your website.",Neutral,,"spam;other;sales"
ND-2025-001828,2026-01-01T00:00:00Z,2025-10-08T09:20:30Z,webchat,incident,access_permissions,account_locked,Urgent,4.0,3.8,4.5,solved,fixed,false,support,"",11,Pro,London,35-44,Male,"Entire team locked out of Orbit ID please help.",Negative,1,"locked_out;orbit_id;outage;login"
ND-2025-001829,2026-01-01T00:00:00Z,2025-10-08T11:00:55Z,email,service_request,security_privacy,ip_whitelist,Medium,24.0,23.5,40.0,open,"",false,security,"",42,Enterprise,North East,25-34,Female,"Can we whitelist our office IP range for Orbit ID access?",Neutral,,"ip_whitelist;security;orbit_id;configuration"
ND-2025-001830,2026-01-01T00:00:00Z,2025-10-08T13:45:10Z,phone,service_request,account_admin,user_add_remove,Low,48.0,5.5,12.0,solved,answered,false,support,"",3,Standard,South West,45-54,Male,"Need to delete a user but the button is greyed out.",Negative,4,"user_management;ui;admin;bug"
ND-2025-001831,2026-01-01T00:00:00Z,2025-10-09T08:10:25Z,email,incident,security_privacy,vulnerability_disclosure,High,8.0,2.0,9.5,solved,workaround,true,security,engineering,18,Pro,London,25-34,Female,"Found a reflected XSS on the login page parameters.",Negative,,"vulnerability;security;bug;login"
ND-2025-001832,2026-01-01T00:00:00Z,2025-10-09T10:30:40Z,in_app,service_request,access_permissions,invite_user,Low,48.0,12.0,24.0,solved,answered,false,support,"",5,Standard,Yorkshire,18-24,Male,"Invite link for the new guy expired.",Neutral,5,"invite;user_management;orbit_id;admin"
ND-2025-001833,2026-01-01T00:00:00Z,2025-10-09T14:15:00Z,email,service_request,security_privacy,mfa_policy,Medium,24.0,18.0,22.5,solved,answered,false,support,"",28,Pro,North West,35-44,Female,"Users complying about MFA prompts on every login.",Negative,3,"mfa;orbit_id;login;configuration"
ND-2025-001834,2026-01-01T00:00:00Z,2025-10-10T09:00:15Z,webchat,service_request,other,partnership_request,Low,48.0,24.0,26.5,solved,answered,false,support,"",0,Free,London,25-34,Male,"We would like to partner with Northstar for an integration.",Positive,,"partnership;sales;integration;connector"
ND-2025-001835,2026-01-01T00:00:00Z,2025-10-10T10:55:30Z,email,service_request,account_admin,data_retention,Medium,24.0,4.0,18.0,solved,answered,false,data,"",55,Enterprise,East of England,45-54,Female,"Checking retention policy for dashboard snapshots.",Neutral,,"retention;data;admin;gdpr"
ND-2025-001836,2026-01-01T00:00:00Z,2025-10-10T12:40:44Z,email,incident,security_privacy,suspicious_activity,Urgent,4.0,0.6,2.8,solved,fixed,true,security,engineering,30,Pro,Scotland,35-44,Male,"We suspect an API token leak - please revoke all keys.",Negative,5,"api;token;security;suspicious_login"
