case_id,snapshot_at,created_at,channel,case_type,category,subcategory,priority,sla_target_hours,first_response_time_hours,resolution_time_hours,status,resolution_code,escalated,assigned_team,escalation_team,customer_tenure_months,plan_tier,region_uk,age_band,gender,case_summary,sentiment,csat_score,tags
ND-2025-001000,2026-01-01T00:00:00Z,2025-06-02T09:15:22Z,email,service_request,billing_payments,invoice_error,Medium,24.0,5.2,26.4,solved,fixed,FALSE,billing,"",24,Pro,London,35-44,F,"Invoice for May shows VAT at 0% but we are UK based needs fixing",Neutral,5,invoice;vat;pro_tier
ND-2025-001001,2026-01-01T00:00:00Z,2025-06-02T10:04:45Z,webchat,incident,performance_outage,latency_spike,High,8.0,1.2,5.5,solved,fixed,FALSE,engineering,"",12,Standard,North West,25-34,M,"Polaris Boards are taking ages to load just spinning wheel",Negative,4,latency;spinner;loading
ND-2025-001002,2026-01-01T00:00:00Z,2025-06-02T11:30:10Z,email,incident,bug,export_bug,Medium,24.0,22.1,"",open,"",FALSE,engineering,"",8,Enterprise,South East,45-54,F,"Exporting the KPI widget to CSV results in empty file",Negative,"",bug;export;csv;widget
ND-2025-001003,2026-01-01T00:00:00Z,2025-06-02T14:45:33Z,phone,service_request,how_to_training,feature_how_to,Low,48.0,46.5,"",pending,"",FALSE,support,"",3,Free,Scotland,55-64,M,"Struggling to find where to add a new Connector for HubSpot",Neutral,"",how_to;hubspot;connector;setup
ND-2025-001004,2026-01-01T00:00:00Z,2025-06-03T08:20:12Z,webchat,incident,access_permissions,account_locked,High,8.0,0.5,2.1,solved,answered,FALSE,support,"",36,Pro,West Midlands,25-34,F,"Locked out of Orbit ID after entering wrong pass 3 times",Negative,5,orbit_id;locked_out;password
ND-2025-001005,2026-01-01T00:00:00Z,2025-06-03T09:55:01Z,email,service_request,account_admin,user_add_remove,Low,48.0,12.4,49.2,solved,fixed,FALSE,support,"",15,Standard,Yorkshire,35-44,M,"Need to remove a user who left the company from our org settings",Neutral,"",admin;user_management;settings
ND-2025-001006,2026-01-01T00:00:00Z,2025-06-03T13:10:55Z,in_app,incident,data_reporting,missing_data,Medium,24.0,3.5,"",open,"",TRUE,data,engineering,6,Pro,East of England,45-54,F,"Data from Xero connector isn't showing up on the dashboard today",Negative,"",polaris;dashboard;missing_data;xero
ND-2025-001007,2026-01-01T00:00:00Z,2025-06-03T16:40:22Z,email,incident,integrations,api_auth_error,High,8.0,4.1,9.8,solved,fixed,FALSE,engineering,"",60,Enterprise,London,25-34,M,"Salesforce connector returning 401 Unauthorized errors since noon",Negative,3,connector;salesforce;api;oauth
ND-2025-001008,2026-01-01T00:00:00Z,2025-06-04T08:05:18Z,email,service_request,security_privacy,gdpr_request,Medium,24.0,18.2,"",on_hold,"",FALSE,security,"",22,Standard,South West,35-44,F,"Client requesting deletion of their data under GDPR rules",Neutral,"",gdpr;privacy;compliance
ND-2025-001009,2026-01-01T00:00:00Z,2025-06-04T09:30:44Z,phone,service_request,other,sales_inquiry,Low,48.0,1.5,1.8,solved,answered,FALSE,support,"",1,Free,Wales,18-24,M,"Interested in upgrading to Enterprise plan can we talk pricing",Positive,5,sales;inquiry;enterprise_tier
ND-2025-001010,2026-01-01T00:00:00Z,2025-06-04T11:15:09Z,webchat,incident,billing_payments,payment_failed,Urgent,4.0,0.2,3.5,solved,fixed,FALSE,billing,"",10,Pro,Northern Ireland,45-54,F,"Urgent my subscription payment failed and I risk losing access",Negative,"",payment;subscription;credit_card
ND-2025-001011,2026-01-01T00:00:00Z,2025-06-04T14:50:33Z,email,incident,performance_outage,degraded_performance,High,8.0,6.5,"",open,"",FALSE,engineering,"",40,Enterprise,London,55-64,M,"Polaris reporting is running very slow for our team in NY",Negative,"",slow;latency;polaris
ND-2025-001012,2026-01-01T00:00:00Z,2025-06-05T10:00:00Z,in_app,incident,bug,ui_glitch,Low,48.0,40.1,"",pending,"",FALSE,engineering,"",5,Standard,North East,25-34,F,"The button to save changes is overlapping with the footer",Neutral,"",bug;ui;glitch
ND-2025-001013,2026-01-01T00:00:00Z,2025-06-05T12:25:47Z,email,service_request,how_to_training,documentation_clarification,Low,48.0,25.5,50.1,solved,answered,FALSE,support,"",9,Pro,East Midlands,35-44,M,"Docs for API v2 seem to have a typo in the auth section",Neutral,4,docs;api;training
ND-2025-001014,2026-01-01T00:00:00Z,2025-06-05T15:45:12Z,webchat,incident,access_permissions,sso_setup,Medium,24.0,2.2,"",open,"",TRUE,support,engineering,55,Enterprise,London,45-54,F,"SSO via Okta is failing for new hires strictly",Negative,"",sso;okta;orbit_id;login
ND-2025-001015,2026-01-01T00:00:00Z,2025-06-06T09:10:55Z,email,service_request,account_admin,billing_contact_update,Low,48.0,30.2,49.5,solved,fixed,FALSE,billing,"",18,Standard,South East,25-34,M,"Change billing email to finance@ please",Neutral,"",admin;settings;email_prefs
ND-2025-001016,2026-01-01T00:00:00Z,2025-06-06T10:45:30Z,webchat,incident,data_reporting,incorrect_filtering,Medium,24.0,5.8,"",pending,"",FALSE,data,"",7,Pro,North West,35-44,F,"Filters on the Sales Widget aren't sticking when I refresh",Negative,"",filter;widget;polaris
ND-2025-001017,2026-01-01T00:00:00Z,2025-06-06T13:20:18Z,email,incident,integrations,webhook_failure,High,8.0,3.5,12.1,solved,fixed,FALSE,engineering,"",28,Pro,Scotland,45-54,M,"Webhooks from Shopify connector are not firing since update",Negative,"",webhook;shopify;connector;sync
ND-2025-001018,2026-01-01T00:00:00Z,2025-06-06T16:05:05Z,in_app,incident,security_privacy,suspicious_activity,Urgent,4.0,0.4,2.2,solved,fixed,TRUE,security,security,14,Enterprise,London,35-44,F,"Alert received for login from unknown IP address in Russia",Negative,"",security;suspicious_login;ip_whitelist;orbit_id
ND-2025-001019,2026-01-01T00:00:00Z,2025-06-07T08:55:40Z,email,service_request,other,spam,Low,72.0,60.1,72.5,solved,cancelled,FALSE,support,"",0,Free,Wales,18-24,M,"Cheap SEO services for your website",Neutral,"",spam;other
ND-2025-001020,2026-01-01T00:00:00Z,2025-06-07T11:10:25Z,phone,service_request,billing_payments,refund_request,Medium,24.0,8.2,"",open,"",FALSE,billing,"",2,Standard,South West,55-64,F,"Charged twice for the same month need a refund on one",Negative,"",refund;duplicate_charge;payment
ND-2025-001021,2026-01-01T00:00:00Z,2025-06-07T14:30:15Z,webchat,incident,performance_outage,500_error,Urgent,4.0,0.8,"",open,"",TRUE,engineering,engineering,33,Pro,West Midlands,25-34,M,"Getting 500 Internal Server Error when saving report",Negative,"",500_error;crash;report
ND-2025-001022,2026-01-01T00:00:00Z,2025-06-08T09:40:50Z,email,incident,bug,browser_compatibility,Medium,24.0,20.5,"",pending,"",FALSE,engineering,"",11,Standard,Yorkshire,35-44,F,"Dashboard layout is broken on Safari browser specifically",Neutral,"",bug;safari;ui
ND-2025-001023,2026-01-01T00:00:00Z,2025-06-08T13:15:35Z,in_app,service_request,how_to_training,onboarding_help,Low,48.0,42.1,45.5,solved,answered,FALSE,support,"",1,Pro,East of England,45-54,M,"New to Northstar need help setting up first Polaris board",Positive,5,onboarding;polaris;setup;walkthrough
ND-2025-001024,2026-01-01T00:00:00Z,2025-06-08T15:50:20Z,email,incident,access_permissions,invite_user,Medium,24.0,14.5,"",on_hold,"",FALSE,support,"",19,Enterprise,London,25-34,F,"Invitation link for new admin user expired too quickly",Neutral,"",invite;admin;orbit_id
ND-2025-001025,2026-01-01T00:00:00Z,2025-06-09T08:30:12Z,webchat,service_request,account_admin,org_settings,Low,48.0,5.5,6.2,solved,fixed,FALSE,support,"",6,Standard,North West,35-44,M,"Need to update our company address on the invoices",Neutral,"",settings;organization;invoice
ND-2025-001026,2026-01-01T00:00:00Z,2025-06-09T10:45:55Z,email,incident,data_reporting,timezone_confusion,Medium,24.0,16.8,"",open,"",FALSE,data,"",13,Pro,South East,45-54,F,"Sales figures seem to be in UTC not BST on the daily view",Neutral,"",timezone;polaris;report
ND-2025-001027,2026-01-01T00:00:00Z,2025-06-09T12:55:30Z,phone,incident,integrations,rate_limit_hit,High,8.0,2.5,7.8,solved,workaround,TRUE,engineering,engineering,45,Enterprise,London,55-64,M,"Hit API rate limit on Xero connector causing sync to stop",Negative,4,rate_limit_hit;api;xero;connector
ND-2025-001028,2026-01-01T00:00:00Z,2025-06-09T15:10:45Z,email,service_request,security_privacy,mfa_policy,Medium,24.0,21.2,"",pending,"",FALSE,security,"",25,Pro,Scotland,25-34,F,"Question about enforcing MFA for all standard users",Neutral,"",mfa;security;orbit_id
ND-2025-001029,2026-01-01T00:00:00Z,2025-06-10T09:05:18Z,webchat,service_request,other,test_ticket,Low,48.0,1.2,1.5,solved,cancelled,FALSE,support,"",0,Free,Northern Ireland,18-24,M,"Ignore this just testing the chat bot",Neutral,"",test_ticket;other;spam
ND-2025-001030,2026-01-01T00:00:00Z,2025-06-10T11:25:05Z,email,service_request,billing_payments,plan_change_billing,Medium,24.0,10.5,"",open,"",FALSE,billing,"",8,Standard,Wales,35-44,F,"Want to upgrade to Pro tier but card was declined",Negative,"",upgrade;pro_tier;payment
ND-2025-001031,2026-01-01T00:00:00Z,2025-06-10T14:40:50Z,in_app,incident,performance_outage,database_slow,High,8.0,5.2,"",new,"",FALSE,engineering,"",30,Pro,East Midlands,45-54,M,"Reports are generating very slowly creates a bad lag",Negative,"",slow;database;report;latency
