case_id,snapshot_at,created_at,channel,case_type,category,subcategory,priority,sla_target_hours,first_response_time_hours,resolution_time_hours,status,resolution_code,escalated,assigned_team,escalation_team,customer_tenure_months,plan_tier,region_uk,age_band,gender,case_summary,sentiment,csat_score,tags
ND-2025-000800,2026-01-01T00:00:00Z,2025-05-01T09:15:22Z,email,incident,bug,ui_glitch,High,8.0,2.4,12.5,solved,fixed,false,engineering,"",14,Pro,London,35-44,F,"Polaris Board layout looks completely scrambled after the v2.4 update this morning.",Negative,4,bug;ui;v2_update;polaris
ND-2025-000801,2026-01-01T00:00:00Z,2025-05-01T09:22:10Z,webchat,service_request,how_to_training,feature_how_to,Medium,24.0,1.5,5.2,solved,answered,false,operations,"",3,Standard,South East,25-34,M,"Where has the export button gone on the new widget interface?",Neutral,5,how_to;widget;export;v2_update
ND-2025-000802,2026-01-01T00:00:00Z,2025-05-01T09:45:00Z,in_app,incident,performance_outage,latency_spike,Urgent,4.0,0.8,"",open,"",true,engineering,engineering,36,Enterprise,North West,45-54,M,"Loading the main dashboard takes over 20 seconds since the update.",Negative,"",latency;slow;spinner;polaris
ND-2025-000803,2026-01-01T00:00:00Z,2025-05-01T10:05:33Z,email,incident,bug,regression_after_update,High,8.0,3.1,26.4,solved,workaround,false,engineering,"",22,Standard,Scotland,35-44,F,"Cannot save changes to my Polaris filters; save button does nothing.",Negative,3,bug;regression;filter;v2_update
ND-2025-000804,2026-01-01T00:00:00Z,2025-05-01T10:12:15Z,phone,service_request,how_to_training,documentation_clarification,Low,48.0,12.5,49.1,solved,answered,false,operations,"",8,Free,West Midlands,55-64,M,"The docs for the new Connector setup don't match what I see on screen.",Neutral,5,docs;connector;setup;training
ND-2025-000805,2026-01-01T00:00:00Z,2025-05-01T10:30:44Z,email,incident,integrations,mapping_error,Medium,24.0,5.5,"",pending,"",false,engineering,"",19,Pro,London,25-34,F,"Xero sync is failing since the release; field mapping errors on invoices.",Negative,"",connector;xero;sync;bug
ND-2025-000806,2026-01-01T00:00:00Z,2025-05-01T11:00:01Z,webchat,incident,bug,ui_glitch,Medium,24.0,0.2,1.5,solved,fixed,false,support,"",5,Standard,South West,18-24,M,"It's broken.",Negative,2,bug;glitch;ui;other
ND-2025-000807,2026-01-01T00:00:00Z,2025-05-01T11:15:20Z,email,incident,bug,mobile_issue,High,8.0,4.2,9.8,solved,fixed,false,engineering,"",40,Enterprise,East of England,45-54,F,"Mobile app crashes immediately when I try to open a Polaris Board.",Negative,4,mobile;crash;polaris;bug
ND-2025-000808,2026-01-01T00:00:00Z,2025-05-01T11:45:55Z,email,service_request,how_to_training,best_practice,Low,48.0,26.1,50.2,solved,answered,false,operations,"",1,Standard,Yorkshire,25-34,M,"Is there a video tutorial for the new v2.4 dashboard layout?",Positive,5,video_tutorial;training;polaris;v2_update
ND-2025-000809,2026-01-01T00:00:00Z,2025-05-01T12:05:10Z,in_app,incident,bug,browser_compatibility,Medium,24.0,2.0,"",open,"",false,engineering,"",12,Pro,Northern Ireland,35-44,F,"Scroll bar is missing on Safari after the update.",Neutral,"",bug;safari;ui;glitch
ND-2025-000810,2026-01-01T00:00:00Z,2025-05-02T08:50:30Z,email,incident,performance_outage,degraded_performance,High,8.0,1.5,6.0,solved,fixed,false,engineering,"",60,Enterprise,London,45-54,M,"Widgets are taking forever to render this morning.",Negative,4,slow;widget;loading;latency
ND-2025-000811,2026-01-01T00:00:00Z,2025-05-02T09:10:15Z,webchat,incident,access_permissions,sso_setup,Urgent,4.0,0.5,1.2,solved,fixed,false,security,"",2,Standard,East Midlands,25-34,F,"Orbit ID isn't accepting my Google Auth credentials.",Negative,5,orbit_id;google_auth;login;sso
ND-2025-000812,2026-01-01T00:00:00Z,2025-05-02T09:35:40Z,email,service_request,how_to_training,feature_how_to,Medium,24.0,18.5,26.0,solved,answered,false,operations,"",10,Pro,Wales,35-44,M,"How do I revert to the old view? I can't find anything.",Negative,3,how_to;configuration;v2_update;ui
ND-2025-000813,2026-01-01T00:00:00Z,2025-05-02T10:00:00Z,email,incident,bug,ui_glitch,Medium,24.0,6.0,"",open,"",false,engineering,"",7,Free,London,18-24,F,"Text overlapping on the billing page.",Neutral,"",bug;ui;glitch;billing
ND-2025-000814,2026-01-01T00:00:00Z,2025-05-02T10:45:22Z,phone,incident,performance_outage,intermittent_errors,Urgent,2.0,0.1,3.5,solved,fixed,true,engineering,engineering,45,Enterprise,South East,55-64,M,"Keep getting 500 errors when generating PDF reports.",Negative,4,500_error;pdf;report;crash
