case_id,snapshot_at,created_at,channel,case_type,category,subcategory,priority,sla_target_hours,first_response_time_hours,resolution_time_hours,status,resolution_code,escalated,assigned_team,escalation_team,customer_tenure_months,plan_tier,region_uk,age_band,gender,case_summary,sentiment,csat_score,tags
ND-2025-001200,2026-01-01T00:00:00Z,2025-07-01T09:15:22Z,email,incident,integrations,third_party_outage,Urgent,4.0,0.5,5.2,solved,fixed,true,engineering,engineering,24,Pro,London,35-44,F,"Xero Connector sync failed completely on our main Polaris Board.",Negative,3,"connector;xero;sync;api;outage"
ND-2025-001201,2026-01-01T00:00:00Z,2025-07-01T09:22:10Z,webchat,incident,integrations,api_auth_error,High,8.0,1.2,14.5,solved,fixed,false,engineering,"",12,Standard,South East,25-34,M,"Getting a 401 error when refreshing the Salesforce Connector.",Negative,4,"api;salesforce;connector;token;oauth"
ND-2025-001202,2026-01-01T00:00:00Z,2025-07-01T10:05:45Z,in_app,service_request,how_to_training,feature_how_to,Medium,24.0,5.5,22.1,solved,answered,false,support,"",6,Free,North West,45-54,F,"How do I add a new Widget to the sales dashboard?",Neutral,5,"how_to;widget;dashboard;configuration"
ND-2025-001203,2026-01-01T00:00:00Z,2025-07-01T11:12:00Z,email,incident,integrations,timeout_error,Urgent,4.0,0.8,3.5,solved,fixed,true,engineering,engineering,36,Enterprise,London,35-44,M,"URGENT: Xero API timeout is blocking our month-end reporting on Polaris.",Negative,2,"connector;xero;timeout;api;polaris"
ND-2025-001204,2026-01-01T00:00:00Z,2025-07-01T13:45:33Z,phone,incident,integrations,mapping_error,High,8.0,2.1,"",open,"",true,support,engineering,4,Pro,West Midlands,55-64,M,"My Polaris Board isn't showing the right VAT figures from Xero.",Negative,"","connector;mapping_error;vat;xero;polaris"
ND-2025-001205,2026-01-01T00:00:00Z,2025-07-02T08:30:15Z,email,incident,performance_outage,latency_spike,Medium,24.0,4.2,26.5,solved,fixed,false,engineering,"",18,Standard,Scotland,25-34,F,"Polaris takes forever to load the graphs this morning.",Negative,4,"latency;slow;loading;polaris;spinner"
ND-2025-001206,2026-01-01T00:00:00Z,2025-07-02T09:10:05Z,webchat,incident,integrations,third_party_outage,Urgent,4.0,0.3,4.1,solved,workaround,true,engineering,engineering,60,Enterprise,London,45-54,M,"Major Xero outage affecting all our Connectors.",Negative,1,"third_party_outage;xero;connector;api"
ND-2025-001207,2026-01-01T00:00:00Z,2025-07-02T10:55:40Z,email,incident,bug,ui_glitch,Low,48.0,12.5,45.2,solved,fixed,false,engineering,"",8,Standard,South West,35-44,F,"The export button is misaligned on Safari.",Neutral,5,"bug;ui;safari;export"
ND-2025-001208,2026-01-01T00:00:00Z,2025-07-02T14:20:22Z,in_app,incident,integrations,webhook_failure,High,8.0,3.5,"",open,"",false,engineering,"",22,Pro,East of England,25-34,M,"Webhook failure notifications are spamming my inbox.",Negative,"","webhook;failure;connector;api"
ND-2025-001209,2026-01-01T00:00:00Z,2025-07-02T15:45:11Z,email,service_request,account_admin,user_add_remove,Low,48.0,20.1,49.5,solved,answered,false,support,"",5,Free,Wales,18-24,F,"Need to remove an old user from Orbit ID.",Neutral,"","admin;user_management;orbit_id;settings"
ND-2025-001210,2026-01-01T00:00:00Z,2025-07-03T09:00:05Z,webchat,incident,integrations,oauth_token_issue,High,8.0,1.5,9.2,solved,fixed,true,engineering,engineering,15,Pro,North East,35-44,M,"Xero token expired and won't renew automatically.",Negative,3,"oauth;token;xero;connector"
ND-2025-001211,2026-01-01T00:00:00Z,2025-07-03T09:45:30Z,email,incident,billing_payments,invoice_error,Medium,24.0,6.2,28.4,solved,fixed,false,billing,"",40,Standard,London,45-54,F,"Invoice for this month has the wrong VAT amount.",Negative,4,"invoice;vat;payment;billing"
ND-2025-001212,2026-01-01T00:00:00Z,2025-07-03T11:20:15Z,phone,incident,integrations,third_party_outage,Urgent,2.0,0.2,3.1,solved,fixed,true,engineering,engineering,55,Enterprise,London,35-44,M,"Is the Xero Connector down again? Polaris is blank.",Negative,"","third_party_outage;xero;connector;polaris"
ND-2025-001213,2026-01-01T00:00:00Z,2025-07-03T13:10:00Z,email,incident,performance_outage,database_slow,High,8.0,2.8,"",pending,"",false,engineering,"",10,Pro,Yorkshire,25-34,F,"Reports are timing out when I try to filter by date.",Negative,"","database;timeout;slow;filter"
ND-2025-001214,2026-01-01T00:00:00Z,2025-07-03T16:05:55Z,webchat,incident,integrations,rate_limit_hit,Medium,24.0,5.1,23.5,solved,workaround,false,engineering,"",7,Standard,South East,18-24,M,"Hit the API rate limit on the HubSpot connector.",Neutral,4,"api;rate_limit_hit;hubspot;connector"
ND-2025-001215,2026-01-01T00:00:00Z,2025-07-04T08:55:12Z,email,incident,integrations,third_party_outage,Urgent,4.0,1.1,6.5,solved,duplicate,true,engineering,"",30,Pro,North West,45-54,F,"Xero sync is broken again please fix asap.",Negative,"","third_party_outage;xero;sync;connector"
ND-2025-001216,2026-01-01T00:00:00Z,2025-07-04T10:15:33Z,email,incident,bug,mobile_issue,Medium,24.0,8.5,"",open,"",false,engineering,"",14,Standard,East Midlands,35-44,M,"Mobile app crashes when I open the Sales Polaris Board.",Negative,"","bug;mobile;crash;polaris"
ND-2025-001217,2026-01-01T00:00:00Z,2025-07-04T11:40:20Z,webchat,service_request,access_permissions,password_reset,Low,48.0,3.2,5.1,solved,answered,false,support,"",3,Free,London,25-34,F,"Locked out of Orbit ID can you reset?",Neutral,5,"orbit_id;password;locked_out;login"
