case_id,snapshot_at,created_at,channel,case_type,category,subcategory,priority,sla_target_hours,first_response_time_hours,resolution_time_hours,status,resolution_code,escalated,assigned_team,escalation_team,customer_tenure_months,plan_tier,region_uk,age_band,gender,case_summary,sentiment,csat_score,tags
ND-2025-000400,2026-01-01T00:00:00Z,2025-03-01T08:15:22Z,email,service_request,billing_payments,vat_receipt,Medium,24.0,2.5,22.1,solved,answered,false,billing,"",12,Pro,London,35-44,F,"Need a VAT receipt for the last Orbit ID subscription payment cheers","Neutral",5,"vat;subscription;invoice"
ND-2025-000401,2026-01-01T00:00:00Z,2025-03-01T09:02:10Z,webchat,service_request,account_admin,user_add_remove,Low,48.0,1.1,4.5,solved,fixed,false,operations,"",24,Standard,South East,25-34,M,"How do I remove a user from our Polaris Board access list?","Neutral",4,"user_management;admin;polaris"
ND-2025-000402,2026-01-01T00:00:00Z,2025-03-01T09:30:45Z,email,incident,billing_payments,invoice_error,High,8.0,0.8,6.2,solved,fixed,false,billing,"",6,Enterprise,North West,45-54,M,"The invoice amount for the Enterprise tier doesn't look right for March","Negative",2,"invoice;enterprise_tier;error"
ND-2025-000403,2026-01-01T00:00:00Z,2025-03-01T10:12:05Z,phone,service_request,other,sales_inquiry,Low,48.0,0.2,0.5,solved,answered,false,operations,"",0,Free,Yorkshire,,"Looking to upgrade to get more Connectors can someone call me?","Positive","","sales;upgrade;connector"
ND-2025-000404,2026-01-01T00:00:00Z,2025-03-01T11:45:33Z,in_app,service_request,billing_payments,vat_receipt,Medium,24.0,3.5,20.0,solved,answered,false,billing,"",18,Pro,Scotland,35-44,F,"Where do I download the VAT invoice for my records?","Neutral",5,"vat;invoice;download"
ND-2025-000405,2026-01-01T00:00:00Z,2025-03-01T13:20:12Z,email,incident,bug,ui_glitch,High,8.0,1.2,12.5,solved,fixed,true,engineering,engineering,36,Standard,London,25-34,M,"The Polaris Board widget for revenue is overlapping the footer","Negative",3,"bug;ui;widget;polaris"
ND-2025-000406,2026-01-01T00:00:00Z,2025-03-01T14:05:55Z,webchat,service_request,billing_payments,plan_change_billing,Medium,24.0,0.5,1.2,solved,fixed,false,billing,"",5,Pro,East Midlands,55-64,F,"I need to downgrade my plan before the next billing cycle","Neutral",4,"downgrade;subscription;billing"
ND-2025-000407,2026-01-01T00:00:00Z,2025-03-01T15:18:29Z,email,incident,billing_payments,payment_failed,Urgent,4.0,0.3,3.8,solved,fixed,false,billing,"",10,Pro,South West,45-54,M,"Urgent my credit card failed for the Orbit ID renewal","Negative","","payment;credit_card;orbit_id;failed"
ND-2025-000408,2026-01-01T00:00:00Z,2025-03-02T08:45:10Z,email,service_request,account_admin,audit_log_request,Low,48.0,5.5,26.0,open,"",false,operations,"",40,Enterprise,London,35-44,M,"We need the audit logs for Q1 for our internal review","Neutral","","audit_log;compliance;admin"
ND-2025-000409,2026-01-01T00:00:00Z,2025-03-02T09:10:44Z,email,incident,billing_payments,duplicate_charge,High,8.0,2.1,9.5,solved,refunded,true,billing,billing,2,Standard,Wales,25-34,F,"I've been charged twice for the same connector add-on","Negative",1,"duplicate_charge;refund;connector;billing"
ND-2025-000410,2026-01-01T00:00:00Z,2025-03-02T10:25:30Z,webchat,service_request,other,test_ticket,Low,48.0,0.1,0.2,solved,cancelled,false,operations,"",0,Free,North East,,"Ignore this just testing the chat","Neutral","","test_ticket;other;spam"
ND-2025-000411,2026-01-01T00:00:00Z,2025-03-02T11:50:15Z,email,service_request,billing_payments,vat_receipt,Medium,24.0,4.2,23.5,solved,answered,false,billing,"",15,Pro,East of England,45-54,M,"Can you send the VAT receipt to my finance team directly?","Neutral",5,"vat;invoice;email_prefs"
ND-2025-000412,2026-01-01T00:00:00Z,2025-03-02T13:05:00Z,phone,incident,bug,app_crash,Urgent,4.0,0.5,2.0,solved,fixed,true,engineering,engineering,22,Enterprise,London,35-44,F,"The mobile app crashes every time I open the Polaris Board","Negative",2,"mobile;crash;polaris;bug"
ND-2025-000413,2026-01-01T00:00:00Z,2025-03-02T14:40:22Z,email,service_request,billing_payments,pricing_query,Low,48.0,12.0,30.5,solved,answered,false,billing,"",3,Standard,South East,25-34,M,"Does the Pro tier include more Orbit ID seats?","Neutral",4,"pricing;pro_tier;seat_limit;orbit_id"
ND-2025-000414,2026-01-01T00:00:00Z,2025-03-02T16:15:55Z,email,service_request,account_admin,org_settings,Medium,24.0,3.0,25.2,open,"",false,operations,"",8,Pro,West Midlands,35-44,F,"Need to update our company address for the invoices","Neutral","","org_settings;billing;admin"
ND-2025-000415,2026-01-01T00:00:00Z,2025-03-03T09:00:05Z,webchat,service_request,billing_payments,vat_receipt,Medium,24.0,1.5,18.5,solved,answered,false,billing,"",12,Pro,London,55-64,M,"VAT invoice missing for Feb please sort","Neutral",5,"vat;invoice;missing"
ND-2025-000416,2026-01-01T00:00:00Z,2025-03-03T09:45:33Z,email,incident,other,spam,Low,48.0,24.0,48.5,solved,cancelled,false,operations,"",0,Free,North West,,"SEO services for your website","Neutral","","spam;sales;miscellaneous"
ND-2025-000417,2026-01-01T00:00:00Z,2025-03-03T10:30:12Z,email,service_request,billing_payments,refund_request,High,8.0,3.5,7.8,solved,refunded,false,billing,"",5,Standard,Scotland,25-34,F,"We cancelled last week but got charged again refund please","Negative",3,"refund;cancellation;charge;error"
ND-2025-000418,2026-01-01T00:00:00Z,2025-03-03T11:20:50Z,in_app,service_request,account_admin,user_add_remove,Low,48.0,2.2,5.1,solved,fixed,false,operations,"",20,Enterprise,London,45-54,M,"Add John Smith to the Finance Polaris Board","Neutral",5,"user_management;polaris;admin"
ND-2025-000419,2026-01-01T00:00:00Z,2025-03-03T13:10:05Z,email,incident,bug,export_bug,Medium,24.0,4.5,26.2,open,"",true,engineering,engineering,14,Pro,South West,35-44,F,"Export to CSV is failing on the Sales Widget","Negative","","export;bug;csv;widget"
ND-2025-000420,2026-01-01T00:00:00Z,2025-03-03T14:55:40Z,email,service_request,billing_payments,vat_receipt,Medium,24.0,5.1,21.5,solved,answered,false,billing,"",9,Standard,Yorkshire,25-34,M,"Copy of VAT receipt thanks","Neutral",4,"vat;invoice;request"
ND-2025-000421,2026-01-01T00:00:00Z,2025-03-03T16:40:15Z,webchat,service_request,other,inquiry,Low,48.0,0.5,1.0,solved,answered,false,operations,"",1,Free,Wales,,"Do you integrate with Sage?","Neutral","","inquiry;connector;sage"
ND-2025-000422,2026-01-01T00:00:00Z,2025-03-04T08:20:30Z,email,incident,billing_payments,payment_failed,High,8.0,1.5,5.5,solved,fixed,false,billing,"",24,Pro,London,45-54,F,"Payment keeps bouncing for our annual sub","Negative",2,"payment;failed;subscription"
ND-2025-000423,2026-01-01T00:00:00Z,2025-03-04T09:15:10Z,phone,service_request,account_admin,billing_contact_update,Medium,24.0,2.0,4.2,solved,fixed,false,operations,"",30,Enterprise,East Midlands,35-44,M,"Change the billing email to accounts@company.com","Neutral",5,"billing;email_prefs;admin"
ND-2025-000424,2026-01-01T00:00:00Z,2025-03-04T10:50:55Z,email,incident,bug,broken_link,Low,48.0,10.5,35.0,solved,fixed,false,engineering,"",7,Standard,North East,25-34,F,"The link to the help docs from the Widget settings is 404","Neutral",4,"broken_link;404;widget;docs"
ND-2025-000425,2026-01-01T00:00:00Z,2025-03-04T12:30:22Z,email,service_request,billing_payments,vat_receipt,Medium,24.0,3.8,19.2,solved,answered,false,billing,"",11,Pro,South East,35-44,M,"Urgently need VAT invoice for tax return","Neutral",5,"vat;invoice;urgent"
