case_id,snapshot_at,created_at,channel,case_type,category,subcategory,priority,sla_target_hours,first_response_time_hours,resolution_time_hours,status,resolution_code,escalated,assigned_team,escalation_team,customer_tenure_months,plan_tier,region_uk,age_band,gender,case_summary,sentiment,csat_score,tags
ND-2025-000001,2026-01-01T00:00:00Z,2025-01-02T09:15:22Z,email,service_request,how_to_training,onboarding_help,Medium,24.0,2.5,18.4,solved,answered,FALSE,support,"",3,Standard,London,25-34,F,"How do I add a new Polaris Board for the marketing team?",Neutral,5,"how_to; onboarding; polaris; configuration"
ND-2025-000002,2026-01-01T00:00:00Z,2025-01-02T10:04:11Z,webchat,service_request,how_to_training,feature_how_to,Low,48.0,5.1,36.2,solved,answered,FALSE,support,"",1,Free,North West,18-24,M,"Need help setting up widgets on my dashboard",Neutral,4,"how_to; widget; dashboard; setup"
ND-2025-000003,2026-01-01T00:00:00Z,2025-01-02T11:22:45Z,in_app,incident,access_permissions,password_reset,High,8.0,0.5,3.1,solved,fixed,FALSE,support,"",14,Pro,South East,45-54,M,"Orbit ID isn't accepting my password after the break",Negative,4,"orbit_id; password; login; locked_out"
ND-2025-000004,2026-01-01T00:00:00Z,2025-01-03T08:45:00Z,email,service_request,how_to_training,best_practice,Low,48.0,12.2,,open,"",FALSE,support,"",5,Standard,Scotland,35-44,F,"What's the best practice for sharing Polaris Boards with external clients?",Neutral,,"how_to; best_practice; polaris; sharing"
ND-2025-000005,2026-01-01T00:00:00Z,2025-01-03T09:10:15Z,phone,incident,billing_payments,invoice_error,Urgent,4.0,0.2,3.5,solved,fixed,TRUE,billing,support,24,Enterprise,London,55-64,M,"Double charged for the Pro tier upgrade on my Jan invoice",Negative,3,"invoice; duplicate_charge; pro_tier; billing"
ND-2025-000006,2026-01-01T00:00:00Z,2025-01-03T14:33:50Z,email,service_request,data_reporting,export_issue,Medium,24.0,3.5,,pending,"",FALSE,data,"",8,Pro,West Midlands,35-44,F,"Exporting the Q4 report to CSV returns blank rows",Negative,,"export; csv; polaris; report"
ND-2025-000007,2026-01-01T00:00:00Z,2025-01-04T08:55:10Z,webchat,incident,bug,ui_glitch,Medium,24.0,1.1,5.6,solved,fixed,FALSE,engineering,"",2,Standard,East of England,25-34,M,"The navigation bar is overlapping my charts",Negative,5,"bug; ui; glitch; chrome"
ND-2025-000008,2026-01-01T00:00:00Z,2025-01-04T10:12:05Z,email,service_request,how_to_training,onboarding_help,Medium,24.0,4.2,,open,"",FALSE,support,"",1,Standard,London,25-34,F,"New starter here - how do I link the Xero connector?",Neutral,,"how_to; onboarding; connector; xero"
ND-2025-000009,2026-01-01T00:00:00Z,2025-01-04T13:45:22Z,in_app,incident,access_permissions,sso_setup,High,8.0,1.5,4.0,solved,fixed,FALSE,support,"",36,Enterprise,South West,45-54,M,"SSO failing for our domain via Orbit ID",Negative,5,"sso; orbit_id; okta; domain"
ND-2025-000010,2026-01-01T00:00:00Z,2025-01-05T09:00:01Z,email,service_request,how_to_training,examples_needed,Low,48.0,14.5,,new,"",FALSE,support,"",2,Free,Yorkshire,18-24,F,"Can you show me an example of a sales pipeline widget?",Neutral,,"how_to; widget; examples; polaris"
