case_id,snapshot_at,created_at,channel,case_type,category,subcategory,priority,sla_target_hours,first_response_time_hours,resolution_time_hours,status,resolution_code,escalated,assigned_team,escalation_team,customer_tenure_months,plan_tier,region_uk,age_band,gender,case_summary,sentiment,csat_score,tags
ND-2025-002000,2026-01-01T00:00:00Z,2025-11-01T09:14:22Z,email,service_request,account_admin,user_add_remove,Medium,24.0,3.2,21.5,solved,fixed,FALSE,support,"",14,Standard,South East,35-44,F,"Need to add two new users to our Polaris Board please.",Neutral,5,"user_management;admin;polaris"
ND-2025-002001,2026-01-01T00:00:00Z,2025-11-01T10:05:45Z,webchat,service_request,access_permissions,password_reset,Low,48.0,1.5,5.2,solved,answered,FALSE,support,"",3,Free,North West,25-34,M,"Orbit ID isn't recognising my password after the update.",Negative,4,"orbit_id;password;login;reset"
ND-2025-002002,2026-01-01T00:00:00Z,2025-11-01T11:30:12Z,email,service_request,account_admin,org_settings,Medium,24.0,5.1,"",open,"",FALSE,support,"",36,Enterprise,London,45-54,F,"Requesting a change to our fiscal year start date in the org settings.",Neutral,"","admin;settings;organization;date"
ND-2025-002003,2026-01-01T00:00:00Z,2025-11-01T14:22:01Z,in_app,incident,performance_outage,latency_spike,High,8.0,0.5,4.8,solved,fixed,TRUE,engineering,engineering,22,Pro,Scotland,35-44,M,"Dashboards are taking forever to load the widgets.",Negative,3,"latency;slow;loading;widget;spinner"
ND-2025-002004,2026-01-01T00:00:00Z,2025-11-02T08:45:33Z,email,service_request,account_admin,audit_log_request,Low,48.0,46.2,"",pending,"",FALSE,support,"",8,Standard,South West,25-34,F,"We need an export of the audit logs for last month's user activity.",Neutral,"","audit_log;admin;security;compliance"
ND-2025-002005,2026-01-01T00:00:00Z,2025-11-02T09:10:15Z,phone,incident,integrations,api_auth_error,Urgent,4.0,0.2,3.5,solved,fixed,FALSE,engineering,"",40,Enterprise,London,45-54,M,"Xero Connector has disconnected and won't re-auth.",Negative,5,"connector;xero;api;auth;integration"
ND-2025-002006,2026-01-01T00:00:00Z,2025-11-02T13:55:00Z,email,service_request,account_admin,billing_contact_update,Low,48.0,12.5,26.1,solved,answered,FALSE,billing,"",12,Pro,East Midlands,55-64,M,"Update billing contact email address please.",Neutral,4,"admin;settings;email_prefs;billing"
ND-2025-002007,2026-01-01T00:00:00Z,2025-11-03T10:18:29Z,webchat,service_request,how_to_training,feature_how_to,Medium,24.0,2.1,6.5,solved,answered,FALSE,support,"",5,Standard,Wales,25-34,F,"How do I filter the Polaris widget by region?",Neutral,5,"how_to;polaris;widget;filter;training"
ND-2025-002008,2026-01-01T00:00:00Z,2025-11-03T15:40:44Z,email,incident,bug,export_bug,High,8.0,1.5,"",open,"",TRUE,support,engineering,19,Pro,North East,35-44,M,"CSV export is coming out blank for the sales report.",Negative,"","bug;export;csv;error;report"
ND-2025-002009,2026-01-01T00:00:00Z,2025-11-04T09:05:11Z,in_app,service_request,account_admin,user_add_remove,Medium,24.0,23.5,"",pending,"",FALSE,support,"",6,Standard,London,25-34,F,"Delete user John Smith from the account.",Neutral,"","user_management;admin;security;closure"
